"sim_id","lon","lat"
"173711_10",-61.8249329000202,-53.7331465140489
"173711_10",-61.8758242847794,-53.6033005095344
"173711_10",-61.9287840194132,-53.6369048509944
"173711_10",-61.9086367821825,-53.4426660514621
"173711_10",-61.7762544578307,-53.2666748275351
"173711_10",-61.761977405973,-53.285407648487
"173711_10",-61.9095167744607,-53.1536161452505
"173711_10",-61.8050252155927,-53.4729031909474
"173711_10",-61.8968368304687,-53.7325490519756
"173711_10",-62.0498462296596,-53.7844654385013
"173711_10",-61.7538056156991,-53.3541100805765
"173711_10",-61.8665582260684,-53.316586159096
"173711_10",-61.66797290344,-53.1469182079138
"173711_10",-61.6036876669102,-52.9984747952969
"173711_10",-61.8395013438247,-53.0770900505949
"173711_10",-61.9324618012631,-53.1089419172222
"173711_10",-61.9670353562488,-53.1505932621524
"173711_10",-62.0229249757543,-53.4222503498322
"173711_10",-62.02820182138,-53.2053484516577
"173711_10",-61.9075136324928,-52.932509087401
"173711_10",-61.8194894368933,-52.7438329079851
"173711_10",-61.7506587338649,-52.6902924739074
"173711_10",-61.9452440854221,-52.7483620145029
"173711_10",-62.0718000229015,-52.9969085719631
"173711_10",-61.8864112396406,-52.6386431395207
"173711_10",-61.9027169240041,-52.877948969619
"173711_10",-61.8761037887703,-53.1514788698021
"173711_10",-61.7432225704218,-53.1387473565488
"173711_10",-61.8579503454521,-53.3681592792966
"173711_10",-61.6502124212414,-53.3784757873653
"173711_10",-61.6684908504627,-53.5078768997031
"173711_10",-61.4007619521001,-52.9055819590252
"173711_10",-61.4820570413045,-53.1010969653384
"173711_10",-61.3331437154291,-52.9642930992252
"173711_10",-61.373253347514,-52.9462376631807
"173711_10",-61.3520596836403,-52.6957602390195
"173711_10",-61.2003410513725,-52.6017033952514
"173711_10",-60.9772419242968,-52.6337817013062
"173711_10",-61.1722523357185,-52.9400710917232
"173711_10",-61.2786759491445,-52.8530897533992
"173711_10",-61.3263603636457,-52.9471857037084
"173711_10",-61.0830028053226,-52.5458899400289
"173711_10",-60.8560256318888,-52.1859151770311
"173711_10",-60.8749232268479,-52.2717124166261
"173711_10",-61.056609857237,-52.4351119920464
"173711_10",-61.1876354663931,-52.3347302350469
"173711_10",-61.1556737264157,-52.2681979347298
"173711_10",-61.4196222825913,-52.5623732237125
"173711_10",-61.7126191553281,-52.6324740862114
"173711_10",-61.8137070766753,-52.6181988766704
"173711_10",-61.7893329965964,-52.8382651582
"173711_10",-61.8090486797011,-52.9018860182938
"173711_10",-61.7691140118784,-52.7838097803391
"173711_10",-61.8933872810997,-53.1652604777548
"173711_10",-61.9480707467641,-53.4736507195686
"173711_10",-62.0226692377407,-53.5972069571808
"173711_10",-61.8523877948905,-53.3908044886325
"173711_10",-61.6760679304455,-53.0429539442506
"173711_10",-61.7033315289698,-52.9819094516569
"173711_10",-61.8032609292436,-52.6727414672709
"173711_10",-61.8532375343575,-52.8914027167021
"173711_10",-62.1269074025104,-52.8871038913224
"173711_10",-62.5286170667114,-53.4004808933922
"173711_10",-62.7265034556622,-53.744852972424
"173711_10",-62.614796567255,-54.0484856341144
"173711_10",-62.503651659463,-53.7398353614496
"173711_10",-62.5218393761246,-53.6422886189253
"173711_10",-62.5041282604998,-53.3325264325566
"173711_10",-62.5288131614973,-53.0285346030004
"173711_10",-62.4962320296607,-52.9623364676417
"173711_10",-62.4305216236569,-52.6022025774949
"173711_10",-62.4241053113141,-52.7624293611542
"173711_10",-62.6919715307777,-53.2622724253964
"173711_10",-62.6059933678933,-52.817462898578
"173711_10",-62.6122692020806,-52.4510563373353
"173711_10",-62.7267078001607,-52.5663228498338
"173711_10",-62.8866546797753,-52.5745584492426
"173711_10",-62.810180183534,-52.5721720873368
"173711_10",-62.902940477643,-52.7071586326033
"173711_10",-63.0907268427708,-52.5773698223774
"173711_10",-63.1283535415053,-52.8517603512108
"173711_10",-62.9295703704447,-52.5734317988177
"173711_10",-63.0218101247282,-52.6610969376914
"173711_10",-63.1034040497991,-52.8608951926939
"173711_10",-63.0760557157149,-52.7947948423704
"173711_10",-63.08570623388,-52.6875416725747
"173711_10",-63.2140605170263,-53.0045156928773
"173711_10",-63.4787011641641,-53.0947670704841
"173711_10",-63.5596888883889,-53.6660313448615
"173711_10",-63.4369776400778,-53.4665417013139
"173711_10",-63.4229335582497,-53.2376041598136
"173711_10",-63.52670984753,-53.4432858583845
"173711_10",-63.5267264752658,-53.7764791453509
"173711_10",-63.6743681945005,-53.7301940035886
"173711_10",-63.5991525284874,-53.873463031016
"173711_10",-63.8173157731382,-54.2277639486293
